File,fold,slice,heads,kernel size,Nf,bestAcc,averAcc
saved_data.npy,7,10,1,5,9,0.3157894736842105,0.2657894736842105
saved_data.npy,8,10,1,5,9,0.2631578947368421,0.20789473684210527
saved_data.npy,9,10,1,5,9,0.32894736842105265,0.2802631578947368
saved_data.npy,0,10,1,19,5,0.37662337662337664,0.33766233766233766
saved_data.npy,1,10,1,19,5,0.33766233766233766,0.23896103896103896
saved_data.npy,2,10,1,19,5,0.36363636363636365,0.30259740259740264
saved_data.npy,3,10,1,19,5,0.2857142857142857,0.2623376623376623
saved_data.npy,4,10,1,19,5,0.3116883116883117,0.24545454545454545
saved_data.npy,5,10,1,19,5,0.37662337662337664,0.2857142857142857
saved_data.npy,6,10,1,19,5,0.27631578947368424,0.23815789473684212
saved_data.npy,7,10,1,19,5,0.3157894736842105,0.25789473684210523
saved_data.npy,8,10,1,19,5,0.27631578947368424,0.23684210526315788
saved_data.npy,9,10,1,19,5,0.34210526315789475,0.2644736842105263
saved_data.npy,0,10,1,19,1,0.5324675324675324,0.42597402597402595
saved_data.npy,1,10,1,19,1,0.2727272727272727,0.2324675324675325
saved_data.npy,2,10,1,19,1,0.35064935064935066,0.2883116883116883
saved_data.npy,3,10,1,19,1,0.35064935064935066,0.30519480519480524
saved_data.npy,4,10,1,19,1,0.38961038961038963,0.3233766233766234
saved_data.npy,5,10,1,19,1,0.5064935064935064,0.3831168831168831
saved_data.npy,6,10,1,19,1,0.27631578947368424,0.24868421052631576
saved_data.npy,7,10,1,19,1,0.40789473684210525,0.37631578947368427
saved_data.npy,8,10,1,19,1,0.34210526315789475,0.28289473684210525
saved_data.npy,9,10,1,19,1,0.3815789473684211,0.31052631578947365
saved_data.npy,0,10,1,19,9,0.4675324675324675,0.377922077922078
saved_data.npy,1,10,1,19,9,0.3246753246753247,0.26233766233766237
saved_data.npy,2,10,1,19,9,0.33766233766233766,0.2558441558441559
saved_data.npy,3,10,1,19,9,0.37662337662337664,0.34285714285714286
saved_data.npy,4,10,1,19,9,0.35064935064935066,0.2818181818181818
saved_data.npy,5,10,1,19,9,0.2727272727272727,0.23766233766233763
saved_data.npy,6,10,1,19,9,0.3684210526315789,0.30131578947368426
saved_data.npy,7,10,1,19,9,0.4342105263157895,0.3460526315789474
saved_data.npy,8,10,1,19,9,0.3815789473684211,0.34210526315789475
saved_data.npy,9,10,1,19,9,0.35526315789473684,0.31842105263157894
saved_data.npy,0,10,2,11,5,0.4805194805194805,0.4129870129870129
saved_data.npy,1,10,2,11,5,0.2727272727272727,0.24285714285714288
saved_data.npy,2,10,2,11,5,0.24675324675324675,0.15974025974025974
saved_data.npy,3,10,2,11,5,0.3246753246753247,0.30389610389610394
saved_data.npy,4,10,2,11,5,0.2597402597402597,0.2077922077922078
saved_data.npy,5,10,2,11,5,0.24675324675324675,0.21818181818181817
saved_data.npy,6,10,2,11,5,0.3157894736842105,0.2605263157894737
saved_data.npy,7,10,2,11,5,0.2894736842105263,0.21710526315789477
saved_data.npy,8,10,2,11,5,0.23684210526315788,0.18157894736842106
saved_data.npy,9,10,2,11,5,0.35526315789473684,0.28157894736842104
saved_data.npy,0,10,2,11,1,0.35064935064935066,0.2948051948051948
saved_data.npy,1,10,2,11,1,0.36363636363636365,0.2818181818181818
saved_data.npy,2,10,2,11,1,0.2727272727272727,0.24155844155844158
saved_data.npy,3,10,2,11,1,0.37662337662337664,0.28311688311688316
